epoch,train_loss,train_acc,test_loss,test_acc1,test_acc5
1, 2.975276939623339, 38.45469449776072, 1.0728077918860563, 72.86, 90.53
2, 1.0713737814074056, 72.63375719769674, 0.85480077137613, 77.99000000000001, 93.34
3, 0.7353301518480517, 80.21733045425464, 0.8135263291513843, 79.16, 94.01
4, 0.5501835401422003, 84.68889955214331, 0.8321720380691966, 79.53, 93.94
5, 0.4299631086073849, 87.86688259756878, 0.8285994744224913, 79.93, 94.41000000000001
6, 0.35162254351877054, 90.0911708253359, 0.8752196116052615, 79.13, 93.85
7, 0.3010731957333254, 91.41074856046065, 0.8972959953128912, 79.25, 93.47999999999999
8, 0.26456494934461244, 92.48340531030071, 0.9303064555119557, 78.61, 93.58
9, 0.247081908759061, 93.01923384516955, 0.9642701348301711, 77.9, 93.55
10, 0.23429371252112563, 93.4480966090851, 0.979197448226297, 77.66, 93.10000000000001
11, 0.23241917519178898, 93.32613563659629, 1.022365588671083, 77.3, 93.02
12, 0.22048346323610038, 93.82197696737045, 1.0059076741242865, 77.0, 92.66
13, 0.2175956960774658, 93.98092610364684, 1.0374430201615497, 76.22, 92.58
14, 0.214945704436081, 94.1468730006398, 1.0631068589960693, 75.83, 92.54
15, 0.21810053134967483, 94.152871081254, 1.0800558541231096, 75.84, 92.19000000000001
16, 0.21869146437768516, 94.11488323736404, 1.1134738390612755, 75.13, 92.2
17, 0.2237174572400458, 94.07289667306462, 1.123706034414328, 75.42999999999999, 91.84
18, 0.22457461423757208, 94.07289667306462, 1.1476219812775874, 74.83999999999999, 91.33
19, 0.224055140219052, 94.1588691618682, 1.148290347521472, 74.85000000000001, 91.77
20, 0.2261369196139157, 94.15487044145873, 1.1452141582586204, 74.03, 91.55
