epoch,train_loss,train_acc,test_loss,test_acc1,test_acc5
1, 3.547040634143078, 28.745404411764707, 1.4261394890048835, 64.21, 85.72999999999999
2, 1.328792179636943, 66.3942615089514, 1.0026578827749324, 74.53, 91.60000000000001
3, 0.9349890700386613, 75.43158567774935, 0.9088476051258135, 76.84, 92.58
4, 0.7262542179173521, 80.22498401534527, 0.8779321765597863, 78.16, 93.01
5, 0.5783046596419171, 83.8854699488491, 0.8770642733272118, 77.64, 93.45
6, 0.4710715870037103, 86.83563778772378, 0.8662414709223977, 78.14, 93.52000000000001
7, 0.38942710405496683, 88.93362372122762, 0.891767217388636, 77.85, 93.44
8, 0.32845484916968726, 90.53508631713555, 0.9045575902431826, 77.81, 93.74
9, 0.28264615506581636, 91.9147618286445, 0.932961655568473, 77.75999999999999, 93.27
10, 0.24710755356018196, 92.88582960358056, 0.9412337730202494, 77.74, 93.17
11, 0.22526259068637858, 93.51122921994885, 0.9906126366385931, 77.25, 93.10000000000001
12, 0.20424451408883953, 94.25551470588235, 0.9859814130807225, 77.39, 93.05
13, 0.18745082861665266, 94.80698529411765, 0.9956637371944476, 77.41, 93.25
14, 0.175489139655019, 95.07572730179028, 1.0197709481927413, 77.07000000000001, 92.81
15, 0.1675155054815971, 95.44737052429667, 1.0202843618543842, 77.22, 92.75
16, 0.16058830305209856, 95.66116528132993, 1.0404508679727964, 76.55999999999999, 92.73
17, 0.15914488360857415, 95.71211636828644, 1.0506161934212794, 76.42999999999999, 92.39
18, 0.15430352371900588, 95.86896579283888, 1.0468664697453947, 76.6, 92.38
19, 0.15253948093013234, 96.00483535805627, 1.0809890197802194, 75.78, 92.38
20, 0.15453984284454295, 95.99284686700767, 1.0651902609233614, 75.9, 92.29
