epoch,train_loss,train_acc,test_loss,test_acc1,test_acc5
1, 3.403491207705739, 31.89737851662404, 1.366380586654325, 66.18, 87.08
2, 1.2472845011050133, 68.52921195652173, 0.9914637019362631, 74.49, 91.59
3, 0.8818016153238618, 76.60545875959079, 0.8973638951023922, 76.96, 92.78999999999999
4, 0.6790157919725799, 81.67459239130434, 0.8601053108142901, 77.98, 93.37
5, 0.5356658253142291, 85.22618286445012, 0.8615895192834395, 78.05, 93.44
6, 0.42862439332791913, 87.97254635549872, 0.8624095207528223, 78.53999999999999, 93.52000000000001
7, 0.3481115391263572, 90.1414641943734, 0.8883075185968906, 78.53999999999999, 93.58999999999999
8, 0.27906124612025895, 91.95772058823529, 0.8952064536794831, 78.84, 93.45
9, 0.2343335662065717, 93.33839514066496, 0.9169307833985437, 78.81, 93.51
10, 0.20045003401653846, 94.13562979539643, 0.9431295334538327, 78.69, 93.46
11, 0.17049250309653294, 95.20959878516624, 0.9659750582296637, 78.24, 93.61
12, 0.14823059952529646, 95.72910006393862, 1.0029512662676316, 78.29, 93.23
13, 0.13153213263987124, 96.2426070971867, 1.0190769068047971, 78.45, 93.34
14, 0.11950237961852794, 96.58827525575448, 1.034001899670951, 78.14, 93.17
15, 0.10723394416558468, 96.95392423273657, 1.051983101458489, 78.36, 93.26
16, 0.10054493470646231, 97.11476982097187, 1.06488413599473, 78.08, 93.32000000000001
17, 0.08956369978216146, 97.38950607416879, 1.078856194698358, 78.05, 93.25
18, 0.08456388405521813, 97.58332001278772, 1.0856526075284691, 78.08, 93.38
19, 0.08067965396987203, 97.69021739130434, 1.095907704739631, 78.23, 93.32000000000001
20, 0.075446357364621, 97.7861253196931, 1.1168223687365084, 77.9, 93.23
