epoch,train_loss,train_acc,test_loss,test_acc1,test_acc5
1, 2.8072795181875416, 42.35144753678823, 1.0627455384867965, 73.35000000000001, 90.86999999999999
2, 1.0227690967740115, 74.03430902111324, 0.8472159138530683, 77.98, 93.28999999999999
3, 0.6973808379945127, 81.56190019193858, 0.78995814881507, 79.71000000000001, 94.11
4, 0.5055048934977099, 86.15942898272553, 0.790472145293169, 79.97, 94.28999999999999
5, 0.379999864148125, 89.3494081893794, 0.8145161979137712, 80.12, 94.11
6, 0.2903791479075176, 91.69565738963531, 0.8347141528205507, 80.19, 94.13
7, 0.2324319123096826, 93.3321337172105, 0.8649866539201919, 79.78, 94.06
8, 0.18668142909700108, 94.58373320537429, 0.8857126224572491, 79.95, 93.99
9, 0.1556166785882973, 95.4804462571977, 0.9201594836013333, 79.67, 94.03
10, 0.13357815433648712, 96.11924184261036, 0.9498175604707876, 79.95, 93.85
11, 0.1226429565739952, 96.39415387076136, 0.9714146655076629, 79.66, 93.61
12, 0.10365781634187973, 96.95897312859884, 1.0090336852772221, 79.86, 93.56
13, 0.09546378417439896, 97.1589091490723, 1.0152027893597912, 79.57, 93.69
14, 0.0868891201441439, 97.40083173384517, 1.0473578173643465, 79.67, 93.52000000000001
15, 0.08069807177579945, 97.64475367882278, 1.0373974188118225, 79.85, 93.34
16, 0.07576610898016281, 97.7997040946897, 1.049292601597537, 79.81, 93.72
17, 0.07220971909895663, 97.86968170185541, 1.0601818500810367, 79.65, 93.7
18, 0.06895362930425984, 97.97164907229687, 1.0769652397769272, 79.17999999999999, 93.61
19, 0.06450395200756674, 98.0956094049904, 1.0778967043396774, 79.63, 93.53
20, 0.06154558086983492, 98.19257837492003, 1.092508564329451, 79.25, 93.28999999999999
